slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T13:00:00+02:00,db10e7db-ff58-4613-a752-26e7039b79b7,2018-08-14T13:00:15+02:00,30.3,0.010500000000000002,IAA House 4,IAA House 3
2018-08-14T13:00:00+02:00,c7136043-7c65-475c-96ff-cdfcc3e87322,2018-08-14T13:00:15+02:00,30.3,0.010500000000000002,IAA House 4,IAA House 2
2018-08-14T13:15:00+02:00,3837ffed-c34b-4d5e-bc39-eb69e467c7b0,2018-08-14T13:15:00+02:00,30.3,0.025,IAA House 5,IAA House 2
2018-08-14T13:15:00+02:00,bf9bb871-d472-4097-8708-6df5c7c804a5,2018-08-14T13:15:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T13:15:00+02:00,c2beab64-a556-4f09-b4a2-ca698c1736d0,2018-08-14T13:15:00+02:00,30.3,0.012900000000000002,IAA House 5,Cell Tower
2018-08-14T13:15:00+02:00,dcdcc9ef-5933-446d-9ec3-857fc97ccf7c,2018-08-14T13:15:15+02:00,30.3,0.012099999999999998,IAA House 5,Cell Tower
2018-08-14T13:15:00+02:00,0584c3c7-bb65-424e-b17a-ea81a17cb216,2018-08-14T13:15:15+02:00,30.3,0.012099999999999998,IAA House 4,IAA House 3
2018-08-14T13:30:00+02:00,b021560a-e868-40e7-90ac-af7a59cfd1b1,2018-08-14T13:30:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T13:30:00+02:00,76bf1aaf-81f3-4920-a629-dd08a03de62d,2018-08-14T13:30:00+02:00,30.3,0.025,IAA House 5,IAA House 2
2018-08-14T13:30:00+02:00,52060090-e279-47b6-a9bc-a36c55f5aa46,2018-08-14T13:30:00+02:00,30.3,0.0109,IAA House 5,IAA House 2
2018-08-14T13:30:00+02:00,c63710d6-d7e2-40d3-90d4-f60cd4b8fb42,2018-08-14T13:30:15+02:00,30.3,0.0141,IAA House 4,IAA House 2
2018-08-14T13:30:00+02:00,92fd2bec-ddd1-4db7-9581-1b0452b771ee,2018-08-14T13:30:15+02:00,30.3,0.0141,IAA House 4,IAA House 3
2018-08-14T13:45:00+02:00,d86647d1-8b89-42b2-9abd-f1f17db71c20,2018-08-14T13:45:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T13:45:00+02:00,a9ab6157-a88e-467d-8029-fe23f90074b4,2018-08-14T13:45:00+02:00,30.3,0.025,IAA House 5,IAA House 2
2018-08-14T13:45:00+02:00,56708dbf-9aa4-4ae9-943e-40ee9344690c,2018-08-14T13:45:00+02:00,30.3,0.0087,IAA House 5,IAA House 2
2018-08-14T13:45:00+02:00,95958922-e794-4aef-aef7-876e164d5601,2018-08-14T13:45:15+02:00,30.3,0.016300000000000002,IAA House 4,IAA House 3
2018-08-14T13:45:00+02:00,a89477dc-0a9a-4394-9b3e-f4bdec9a0691,2018-08-14T13:45:30+02:00,30.3,0.007600000000000002,IAA House 4,IAA House 2
2018-08-14T14:00:00+02:00,70688334-2565-4175-858f-9e9a59b7488a,2018-08-14T14:00:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T14:00:00+02:00,9970489a-324c-4baf-b470-7b53ebe7416f,2018-08-14T14:00:00+02:00,30.3,0.025,IAA House 5,IAA House 2
2018-08-14T14:00:00+02:00,47ca65be-e275-4dcb-a010-c778e766c976,2018-08-14T14:00:15+02:00,30.3,0.006099999999999998,IAA House 5,IAA House 3
2018-08-14T14:00:00+02:00,cd2a6aeb-7390-42a7-87e5-8c3c71a00580,2018-08-14T14:00:15+02:00,30.3,0.018900000000000004,IAA House 4,IAA House 2
2018-08-14T14:00:00+02:00,3d51a4b8-bf85-418b-8e79-c60352963242,2018-08-14T14:00:30+02:00,30.3,0.012800000000000004,IAA House 4,IAA House 3
2018-08-14T14:15:00+02:00,24693633-dd4d-404c-86b3-e891941a9475,2018-08-14T14:15:00+02:00,30.3,0.025,IAA House 3,IAA House 2
2018-08-14T14:15:00+02:00,8f133202-57a4-4aea-bd96-4c9f70fb7632,2018-08-14T14:15:00+02:00,30.3,0.0034999999999999996,IAA House 3,Cell Tower
2018-08-14T14:15:00+02:00,dd706a89-dfbf-4dc8-a8fb-ef42396e303f,2018-08-14T14:15:00+02:00,30.3,0.025,IAA House 5,IAA House 3
2018-08-14T14:15:00+02:00,00e78960-88ae-4588-994a-5042de1171e0,2018-08-14T14:15:15+02:00,30.3,0.0034999999999999996,IAA House 5,IAA House 2
2018-08-14T14:15:00+02:00,8d33b537-ce21-4f90-bd74-1a5649aede1e,2018-08-14T14:15:15+02:00,30.3,0.0215,IAA House 4,Cell Tower
2018-08-14T14:15:00+02:00,7847e3fd-b3ed-4ea9-a0cb-485daa0deaaf,2018-08-14T14:15:30+02:00,30.3,0.018,IAA House 4,IAA House 2
2018-08-14T14:15:00+02:00,20bb26aa-a8a3-4613-804b-9652e0528477,2018-08-14T14:15:30+02:00,30.3,0.018,IAA House 4,IAA House 3
2018-08-14T14:30:00+02:00,f88f30a9-3b3f-405c-9e8f-5d4ba3f94bb2,2018-08-14T14:30:00+02:00,30.3,0.025,IAA House 3,Cell Tower
